"year","cites","total.cites"
2014,1,1681
2015,2,1874
2016,5,2198
2017,8,2390
2018,21,2522
2019,28,2661
2020,41,2805
2021,56,3220
2022,72,3505
2023,31,1284
2005,24,247
2006,24,272
2007,64,348
2008,66,434
2009,97,624
2010,130,792
2011,243,933
2012,344,1235
2013,488,1502
2014,577,1681
2015,609,1874
2016,668,2198
2017,659,2390
2018,692,2522
2019,697,2661
2020,765,2805
2021,824,3220
2022,928,3505
2023,311,1284
2010,8,792
2011,9,933
2012,1,1235
2013,7,1502
2014,24,1681
2015,36,1874
2016,63,2198
2017,91,2390
2018,95,2522
2019,102,2661
2020,105,2805
2021,147,3220
2022,194,3505
2023,64,1284
2000,79,110
2001,58,109
2002,75,97
2003,101,149
2004,94,185
2005,125,247
2006,143,272
2007,142,348
2008,192,434
2009,333,624
2010,423,792
2011,426,933
2012,565,1235
2013,582,1502
2014,587,1681
2015,588,1874
2016,617,2198
2017,682,2390
2018,659,2522
2019,697,2661
2020,601,2805
2021,628,3220
2022,610,3505
2023,223,1284
2009,5,624
2010,15,792
2011,16,933
2012,26,1235
2013,48,1502
2014,72,1681
2015,114,1874
2016,175,2198
2017,128,2390
2018,193,2522
2019,168,2661
2020,187,2805
2021,192,3220
2022,183,3505
2023,60,1284
2013,8,1502
2014,9,1681
2015,90,1874
2016,152,2198
2017,184,2390
2018,249,2522
2019,312,2661
2020,407,2805
2021,604,3220
2022,721,3505
2023,278,1284
1998,12,12
1999,20,20
2000,31,110
2001,51,109
2002,22,97
2003,42,149
2004,61,185
2005,63,247
2006,66,272
2007,86,348
2008,126,434
2009,127,624
2010,135,792
2011,140,933
2012,151,1235
2013,194,1502
2014,169,1681
2015,209,1874
2016,245,2198
2017,305,2390
2018,240,2522
2019,266,2661
2020,249,2805
2021,278,3220
2022,273,3505
2023,108,1284
2016,1,2198
2017,0,2390
2018,0,2522
2019,2,2661
2020,8,2805
2021,34,3220
2022,51,3505
2023,33,1284
2009,8,624
2010,19,792
2011,33,933
2012,42,1235
2013,98,1502
2014,146,1681
2015,156,1874
2016,209,2198
2017,262,2390
2018,302,2522
2019,335,2661
2020,379,2805
2021,389,3220
2022,410,3505
2023,145,1284
2003,6,149
2004,30,185
2005,35,247
2006,39,272
2007,56,348
2008,50,434
2009,54,624
2010,62,792
2011,66,933
2012,106,1235
2013,77,1502
2014,96,1681
2015,70,1874
2016,63,2198
2017,71,2390
2018,71,2522
2019,54,2661
2020,63,2805
2021,68,3220
2022,63,3505
2023,31,1284
